Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Zach Harrison,DL,2,8/14/2001,77,270,Ohio State,3
Lenny Krieg,K,2,3/8/2002,74,214,,0
Zane Gonzalez,K,2,5/7/1995,72,200,Arizona State,8
Arnold Ebiketie,LB,2,1/23/1999,74,250,Penn State,4
Bralen Trice,LB,2,2/26/2001,76,274,Washington,2
DeAngelo Malone,LB,2,7/12/1999,75,235,Western Kentucky,4
Divine Deablo,LB,2,8/17/1998,75,223,Virginia Tech,5
JD Bertrand,LB,2,5/5/2000,73,230,Notre Dame,2
Jalon Walker,LB,2,2/24/2004,74,245,Georgia,0
James Pearce Jr.,LB,2,10/12/2003,77,242,Tennessee,0
Josh Woods,LB,2,7/1/1996,73,235,Maryland,6
Kaden Elliss,LB,2,6/10/1995,74,240,Idaho,7
Malik Verdon,LB,2,10/31/2002,76,218,Iowa State,0
Nick Kubitz,LB,2,,,,,
Ronnie Harrison,LB,2,4/18/1997,75,207,Alabama,8
Ronnie Perkins,LB,2,9/29/1999,75,250,Oklahoma,4
Troy Andersen,LB,2,4/23/1999,76,245,Montana State,4
Liam McCullough,LS,2,6/5/1997,74,245,Ohio State,4
Carter Warren,OL,2,1/19/1999,77,311,Pittsburgh,3
Chris Lindstrom,OL,2,2/28/1997,76,310,Boston College,7
Elijah Wilkinson,OL,2,2/10/1995,78,310,UMass Amherst,9
Jack Nelson,OL,2,1/15/2002,79,314,Wisconsin,0
Jake Hanson,OL,2,4/29/1997,76,303,Oregon,4
Jake Matthews,OL,2,2/11/1992,77,309,Texas A&M,12
Jordan Williams,OL,2,,,,,
Joshua Gray,OL,2,3/13/2000,77,299,Oregon State,0
Jovaughn Gwyn,OL,2,3/18/1999,74,310,South Carolina,3
Kaleb McGary,OL,2,2/22/1995,78,330,Washington,7
Kyle Hinton,OL,2,2/27/1998,74,315,Washburn,3
Matthew Bergeron,OL,2,2/26/2000,77,315,Syracuse,3
Matthew Cindric,OL,2,8/2/1999,76,295,California,0
Michael Jerrell,OL,2,8/18/1999,77,309,Findlay,2
Ryan Hayes,OL,2,2/28/2000,78,303,Michigan,1
Ryan Neuzil,OL,2,7/31/1997,75,305,Appalachian State,4
Storm Norton,OL,2,5/16/1994,79,310,Toledo,6
Tyrone Wheatley Jr.,OL,2,2/4/1997,78,320,Stony Brook,2
Bradley Pinion,P,2,6/1/1994,77,265,Clemson,11
Trenton Gill,P,2,1/1/1999,76,219,N.C. State,4
Easton Stick,QB,2,9/9/1995,73,224,North Dakota State,6
Emory Jones,QB,2,4/29/2000,74,210,Cincinnati; Arizona State; Florida,1
Kirk Cousins,QB,2,8/19/1988,75,205,Michigan State,14
Michael Penix Jr.,QB,2,5/8/2000,75,220,Washington; Indiana,2
Bijan Robinson,RB,2,1/30/2002,71,215,Texas,3
Carlos Washington,RB,2,12/26/1998,71,210,Southeastern Louisiana,1
Elijah Dotson,RB,2,1/19/1999,69,202,Northern Colorado,2
Nate Carter,RB,2,5/22/2002,70,202,Michigan State; Connecticut,0
Tyler Allgeier,RB,2,4/15/2000,71,225,BYU,4
Charlie Woerner,TE,2,10/16/1997,77,250,Georgia,6
Feleipe Franks,TE,2,12/22/1997,78,241,Arkansas,3
Joshua Simon,TE,2,11/27/2000,76,240,South Carolina; Western Kentucky,0
Kyle Pitts,TE,2,10/6/2000,78,250,Florida,5
Teagan Quitoriano,TE,2,3/15/2000,78,259,Oregon State,4
Casey Washington,WR,2,3/6/2001,72,205,Illinois,2
Chris Blair,WR,2,10/6/1997,74,215,Alcorn State,2
Darnell Mooney,WR,2,10/29/1997,71,180,Tulane,6
David Sills,WR,2,5/29/1995,75,211,West Virginia,3
Deven Thompkins,WR,2,12/23/1999,68,155,Utah State,4
Drake London,WR,2,7/24/2001,76,215,USC,4
Dylan Drummond,WR,2,1/17/2000,72,190,Eastern Michigan,1
Jesse Matthews,WR,2,8/12/1999,72,190,San Diego State,2
KhaDarel Hodge,WR,2,1/3/1994,74,210,Prairie View A&M; Hinds CC; Alcorn State,8
Nick Nash,WR,2,7/8/1999,75,195,San Jose State,0
Quincy Skinner Jr.,WR,2,,,,,
Tysheem Johnson,DB,2,9/30/2002,70,195,Oregon; Mississippi,0
Andrew Stueber,OL,2,7/1/1999,79,338,Michigan,2
Simeon Barrow Jr.,DL,2,7/6/2002,75,290,Miami; Michigan State,0
Eugene Asante,LB,2,1/22/2000,73,222,Auburn; North Carolina,0
Ben DiNucci,QB,2,11/24/1996,75,209,James Madison,2
A.J. Woods,DB,2,3/28/2001,71,195,Pittsburgh,1
Jammie Robinson,DB,2,1/24/2001,71,195,Florida State,3
Malik Heath,WR,2,3/31/2000,74,213,Mississippi; Mississippi State,3
